Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
270,507,(Consist),128 step,Common,11:36:34,Release,sub(261),307,42 13,Fwd,false,false,false,false,false,false,false,false,false
271,1825,"        0",128 step,Idle,11:29:02,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
272,3118,"        0",128 step,Idle,11:29:02,Release,none,0,42 15,Rev,false,false,false,false,false,false,false,false,true
273,5126,(Consist),128 step,Common,11:36:34,Release,sub(332),5712,53 17,Rev,false,false,false,false,false,false,false,false,true
274,1873,"        0",128 step,Idle,11:29:02,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
275,147,"        0",128 step,Idle,11:29:02,Release,none,0,6D 34,Rev,false,false,false,false,false,false,false,false,false
276,6536,"        0",128 step,Idle,11:29:02,Release,none,0,65 6B,Fwd,false,false,false,false,false,false,true,false,false
277,220,"        0",128 step,Idle,11:29:02,Release,none,0,42 15,Rev,true,false,false,true,false,false,false,true,true
278,167,"        0",128 step,Idle,11:29:02,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
279,5516,(Consist),128 step,Common,11:36:34,Release,sub(332),5712,42 15,Rev,false,false,false,false,false,false,false,false,true
280,4403,"        0",128 step,Idle,11:29:02,Release,none,0,42 15,Fwd,true,false,false,false,false,false,false,false,true
281,2052,"        0",128 step,Idle,11:29:02,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
282,6518,(Consist),128 step,Common,11:36:35,Release,sub(295),3,42 48,Rev,false,false,false,false,false,false,false,false,false
283,6516,(Consist),128 step,Common,11:36:35,Release,sub(295),3,42 15,Rev,false,false,false,false,false,false,false,false,false
284,5441,"        0",128 step,Idle,11:29:02,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,false
285,134,"        0",128 step,Idle,11:29:02,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
286,6003,"        0",128 step,Idle,11:29:02,Release,none,0,65 0A,Fwd,false,false,false,false,false,false,false,false,false
287,6130,"        0",128 step,Idle,11:29:02,Release,none,0,64 45,Rev,false,false,false,false,false,false,false,false,false
288,0,"        0"," 28 step",Free,11:29:02,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
289,595,"        0",128 step,Idle,11:29:02,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
290,658,"        0",128 step,Idle,11:29:03,Release,none,0,6D 34,Fwd,false,false,false,false,false,false,false,false,false
